spliced	intron	gene_name
ENSMUSG00000011034.7	ENSMUSG00000011034.7-I	Slc5a1
ENSMUSG00000081022.2	ENSMUSG00000081022.2-I	Gm15936
ENSMUSG00000107161.2	ENSMUSG00000107161.2-I	Gm43850
ENSMUSG00000079562.8	ENSMUSG00000079562.8-I	Maea
ENSMUSG00000037355.15	ENSMUSG00000037355.15-I	Uvssa
ENSMUSG00000097271.2	ENSMUSG00000097271.2-I	Gm9903
ENSMUSG00000106834.2	ENSMUSG00000106834.2-I	Gm10459
ENSMUSG00000037313.17	ENSMUSG00000037313.17-I	Tacc3
ENSMUSG00000054252.19	ENSMUSG00000054252.19-I	Fgfr3
ENSMUSG00000059064.9	ENSMUSG00000059064.9-I	Gm10059
ENSMUSG00000107149.2	ENSMUSG00000107149.2-I	Gm30708
ENSMUSG00000057406.17	ENSMUSG00000057406.17-I	Nsd2
ENSMUSG00000107043.2	ENSMUSG00000107043.2-I	Gm42849
ENSMUSG00000070858.13	ENSMUSG00000070858.13-I	Gm1673
ENSMUSG00000048142.10	ENSMUSG00000048142.10-I	Nat8l
ENSMUSG00000106771.2	ENSMUSG00000106771.2-I	Gm43459
ENSMUSG00000106902.2	ENSMUSG00000106902.2-I	4930557J02Rik
ENSMUSG00000077454.3	ENSMUSG00000077454.3-I	Gm25918
ENSMUSG00000106702.2	ENSMUSG00000106702.2-I	Gm42846
ENSMUSG00000106888.2	ENSMUSG00000106888.2-I	Gm42848
ENSMUSG00000109572.2	ENSMUSG00000109572.2-I	Cfap99
ENSMUSG00000029110.14	ENSMUSG00000029110.14-I	Rnf4
ENSMUSG00000037210.17	ENSMUSG00000037210.17-I	Fam193a
ENSMUSG00000107227.2	ENSMUSG00000107227.2-I	Gm42559
ENSMUSG00000106678.2	ENSMUSG00000106678.2-I	Gm43457
ENSMUSG00000054520.16	ENSMUSG00000054520.16-I	Sh3bp2
ENSMUSG00000088332.3	ENSMUSG00000088332.3-I	Gm22847
ENSMUSG00000029106.15	ENSMUSG00000029106.15-I	Add1
ENSMUSG00000099082.3	ENSMUSG00000099082.3-I	Mir7036b
ENSMUSG00000107128.2	ENSMUSG00000107128.2-I	Gm42867
ENSMUSG00000085166.2	ENSMUSG00000085166.2-I	Gm15522
ENSMUSG00000052783.17	ENSMUSG00000052783.17-I	Grk4
ENSMUSG00000029104.16	ENSMUSG00000029104.16-I	Htt
ENSMUSG00000051246.4	ENSMUSG00000051246.4-I	Msantd1
ENSMUSG00000029101.17	ENSMUSG00000029101.17-I	Rgs12
ENSMUSG00000093097.3	ENSMUSG00000093097.3-I	Mir3097
ENSMUSG00000029102.10	ENSMUSG00000029102.10-I	Hgfac
ENSMUSG00000044716.13	ENSMUSG00000044716.13-I	Dok7
ENSMUSG00000045318.7	ENSMUSG00000045318.7-I	Adra2c
ENSMUSG00000106762.4	ENSMUSG00000106762.4-I	4930478P22Rik
ENSMUSG00000067438.6	ENSMUSG00000067438.6-I	Hmx1
ENSMUSG00000106970.2	ENSMUSG00000106970.2-I	Gm43377
ENSMUSG00000083907.3	ENSMUSG00000083907.3-I	Plk-ps1
ENSMUSG00000029098.18	ENSMUSG00000029098.18-I	Acox3
ENSMUSG00000087703.2	ENSMUSG00000087703.2-I	Gm15650
ENSMUSG00000029095.18	ENSMUSG00000029095.18-I	Ablim2
